post,comment
"$SIDO struktur market menunjukkan one more breakout dari pola continuation yang ada, momentum dan moneyflow positif tetapi terdapat dua skenario trading untuk kondisi ini: breakout langsung ke 800 atau koreksi dulu ke demand area di bawah dan sideways untuk lanjut ke 800. But either way bisa jadi trading plan yang baik, saran saya entry bertahap pada harga sekarang dan demand area di bawahnya sesuai gambar.",terima kasih pak
kenapa percaya sama $SIDO saham nya lelet mending masuk ke $AMMN menuju 1000%, beda saham gorengan bandar
"$SIDO masih setia nii pak, kembali lah pak sidoğŸŒš","pasti balik gan, tpi harus sabar, masih sideways"
"$SIDO Saya msh pemula, baru mulai investasi Maret kemarin, mau nambah lot di sido tp bingung ntar malah avg up, saran dong temen2 mending nunggu turun dibawah avg price atau gas ajağŸ™","habis pembagian dividen biasanya harga turun bang, nunggu harga turun dulu aja baru beli lagi"
"$SIDO Luar biasa sekali ketika angin puting beliung datang saham2 lain Rontok
sido tetap bertahan kokoh tak tertandingi
aku suka gayamuğŸ‘ğŸ«¡ğŸ˜‡", selalu sedia tolak anginğŸ‘
"Saya melihat transaksi IHSG Hari ini hanya 8,2 Triliun rupiah. Sangat sepi. Bahkan transaksi di pasar reguler hanya 7,4 Triliun.

Top broker dengan nilai transaksi lebih dari 1 Triliun hanya ada 5 sekuritas. Peringkat 1 adalah CC, nampaknya geng dapen dan BPJS lagi yang melakukan intervensi pasar yang sepi banget ini.

>90% transaksi IHSG hari ini terkonsentrasi pada 10 sekuritas saja. Bahkan sekuritas kita tercinta Stockbit XL itu nilai transaksinya hanya 227 Miliar atau setara dengan 2,7% dari total transaksi IHSG.

Nampaknya banyak bandar dan jenderal bursa yang kena kurung di saham BREN sehingga mengakibatkan bursa ini jadi sunyi banget pasca rebalancing MSCI. Tidak saya tag sahamnya karena banyak user Stockbit yang ngamuk sama saya kalau saya tag BREN. Saya tidak tahu apa masalah mereka sehingga tidak mau saham BREN di tag. Tapi bisa jadi karena sudah terlanjur all in full margin di harga >10.000 sehingga tidak ingin membaca hal negatif tentang BREN. Hal tersebut memang bisa dimengerti. Bayangkan kalau kamu sudah floating profit gede di BREN dan sudah screenshot lalu sudah pamer ke medsos floating profit gede >50% cuan lalu tiba-tiba BREN kena perangkap FCA dari BEI selama 1 bulan lalu ARB berjilid-jilid hingga akhirnya dari floating profit 50% menjadi floating minus 50%, tentu hal tersebut akan langsung menganggu fungsi psikologis dan mental.

Saya rasa mau marah pun percuma saja. Petisi yang sudah dibuat sejak Maret 2024 lalu yang ditandatangani belasan ribu orang saja tidak digubris oleh bursa. Jadi alih - alih marah sama tag BREN, ada baiknya ikhlaskan saja semuanya. Lewati fase psikologi denial, anger, depression, dan bargaining langsung lompat ke fase acceptance alias nrimo. BREN mungkin sekarang nyungsep tapi bukan berarti ini akan nyungsep selamanya. Selalu ada cahaya di ujung jalan bagi orang-orang yang percaya dan terus berjuang.

Anyway, dollar masih strong >16.000 (gambar 2). Ini sudah meleset jauh dari asumsi APBN 2024. Jadi ceritanya pemerintah itu pasang asumsi dollar di 2024 ini hanya 15.000 rupiah (gambar 3), ini meleset jauh banget dari realitas sekarang yang mana Dollar sudah >16.200. Melesetnya asumsi dollar ini bisa mengakibatkan defisit APBN di 2024 melebar.

Harus diakui Sri Mulyani ini lumayan hebat karena di April 2024, APBN kita masih surplus (gambar 4). Target pemerintah adalah kalaupun terjadi defisit anggaran, jangan sampai tembus 3%. Soalnya kalau defisit APBN tembus >3% maka otomatis pemerintah harus rilis surat utang negara lagi. Apakah mungkin defisit APBN akan bisa ditekan di bawah 3% dengan dolar yang meroket, potensi pengeluaran negara meningkat lewat pembangunan IKN dan makan siang gratis dan apalagi kalau bukan Sri Mulyani lagi yang jadi menteri keuangan? Tidak tahu dalam beberapa bulan ke depan jika harga minyak meroket dan dollar meroket karena perang yang berkepanjangan di Timur Tengah dan Ukraina, apakah kita bisa menghadapi defisit APBN? Untungnya Iran dan Israel tidak jadi perang terbuka. Drama mereka bikin jantungan saja.

Dalam kondisi penuh ketidakpastian seperti ini saham apa yang menarik? Saham yang rich cash dan low debt adalah yang menarik karena mereka memiliki bumper depan dan belakang yang sangat besar dalam menghadapi ketidakpastian.

Tinggal cek saja laporan keuangan perusahaan tiap perusahaan untuk melihat perusahaan mana yang memiliki cadangan kas besar dan Utang mini. Sebagai contoh $AVIA $SIDO $ANTM $ADRO ini semua punya cadangan kas besar. ANTM punya cadangan kas 11 Triliun dan total utang hanya 9 Triliun. Bumper kuat. Yang tidak kuat hanya kasus korupsinya banyak.",makasih insight nya Om ğŸ™ğŸ‘...jd bs antisipasi money management. Melimpah berkah rejekinya selalu om.
"$SIDO terima kasih ndar, saya sudah jual sisa 4000 lot di 745.

Saya rayakan dengan makan sushi enak.

Sebagian uangnya buat beli $BBRI juga.",cuaaannn.. Cuaaannn
$SIDO Alhamdulillah mkn ada hasil,udh berapa bulan pak hodl
$SIDO semoga ngacir di 850,avg berapa bang
$SIDO prospek 5 tahun kedepan gimana mas?,"maaf gan kalau untuk analisa 5 tahun kedepan, mungkin lebih ke analisa secara FA ğŸ™
kinerja perusahaan dll"
"$SIDO om, bisa cicil buy sell dikit2 ga buat jajan? apa lama bgd aranya?",$SIDO support skrng 725-730 resist area 760
"$MEDC $ITMG

Perosotan mana yang mau didustakan ğŸ˜±",Baru juga 0.7-1.5 persen udah lebay lu
$MEDC comeback nehhh..... mari kita perhatikan dengan seksama,..lemessayy
"$MEDC

Kemarin Avgd di 1370
Malamnya $BRENT turun sampai dgn pagi ini

Tebak berhadiah kemana dibawa medco kita


Harga sekarang 1370

1270-1330
1200-1270

Jangka panjang layak di perhitungkan mengingat OPEC+ memangkas produksi smp 2025

Jangka pendek yo armageddon

Slide 3 : Aku dan pasangan ğŸ¤£ğŸ¤£

Tag emiten minyak lain : $ELSA","sesuai pilihan emitennya, raja minyak lamar bintang kpop pantesnya wkwk"
"nanti pas sudah cut rate canada +europe..
pada fomo deh beli $BBRI $BMRI $BBNI", habis CL terbitlah Terbang wkwk
 95% saja sekalian supaya negara Indonesia $IHSG $BBCA $BBRI $BMRI tidak menjadi kapitalis serakah dan mampu makin mensejahterakan rakyat miskin tersingkir dan difabel dengan uang pajak capital gain 95% dari masyarakat kaya yang main saham, jd mksdnya naik apa turun y?
"Ada apa dengan $MEDC ?
Yang tenang donk kyk $ELSA

Minyak di banting tapi neng ELSA tetap santai.


Random tag :
$BBRI $BBCA $BRPT",Banyakan Ritel = Naik Susah Turun Mudah ğŸ¤£
"ğŸ›¢ï¸ Minyak Brent -3,7% Merespon Pengurangan Jumlah Pemangkasan Produksi Sukarela oleh OPEC+

Harga minyak Brent turun -3,7% ke level US$78,15/barel pada Senin (3/6) malam dan menyentuh level terendah sejak awal Februari 2024.

Keputusan OPEC+ untuk memperpanjang pemangkasan produksi sebesar 3,66 juta barel per hari hingga 2025 [https://stockbit.com/post/14912656] gagal membendung kecemasan pasar akan potensi kembali terjadinya oversupply seiring rencana OPEC+ untuk mengurangi secara bertahap pemangkasan sukarela sebesar 2,2 juta barel per hari pada Oktober 2024â€”September 2025.",Apakah ini berarti harga minyak akan turun atau naik?
"Kenapa kamu harus tahu bisnis suatu emiten ya supaya kamu bisa 'meramal' efeknya apa.

Baik atau buruk.

Tahu OPEC+ cut supply ya kamu tahu long run OIL akan relative tinggi. Kamu juga harus tahu di level harga berapa oil itu aman bagi $ELSA $MEDC.

BTC ya sama, faktor adopsi, sentimen, moneyflow, DXY merupakan keydrivernya. DXY dropped besar kemarin $BTC naik ga karuan.

Suku bunga tricky, direct effect ke bank dan property. Tapi efeknya juga tinggi ke emiten yang modal bisnisnya dari hutang kaya $LPPF atau yang debtnya gede macam konstruksi BUMN. Bisa bangkrut.

Jadi bukan hanya baca RTI aja, tapi jadi investor memang perlu baca LK bahkan rajin ikut pubex sahamnya.

Ni hari ini GoInvest pukul 19.00 buka kelas Baca LK only 100k kurang baik apa:
https://bit.ly/GoinvestID

$PWON","lah katanya harus tau bisnis emiten, $LPPF bisnisnya tergantung hutang yg ada sukubunga katanya.. lawaknya ğŸ¤­"
"$MEDC
Buy 1300-1325
TP1 1365-1375 (RRR 1:2.2)
TP2 1380-1390 (RRR 1:2.7)
Stop Loss If Close : <1275","masih jelek chartnya, jangan dlu."
"$BRENT $MEDC

Minyak naik akan kah medc kita naik?
Ohh blm tentu ğŸ¤£

Bisalah main ke > 1350","IEP apakah prank 1360?
Trader dipersilahkan masuk di $MEDC

Resiko bisa jadi naga atau sapi perah ğŸ”¥âœ…"
"Udah Mau $81 aja

Soon semoga balik minimal $84
Biar realizing price nya $MEDC Q2>Q1 ğŸ”¥", optimis ya bro? tp kmrn kata nya oversupply minyak d us wkwkw
$MEDC ada kejadian apa ini minyak loncat kodok.mata batin ane baru tertutup tidak bisa cek tembus ğŸ¤£,bisalah main di 1400ğŸ¤£
"$MEDC numpang tanya dong, klo kita sudah punya barang tapi dijual pas tanggal pencatatan kira2 kita masih dapet dividen gak ya?","$MEDC numpang tanya dong, klo kita sudah punya barang tapi dijual pas tanggal pencatatan kira2 kita masih dapet dividen gak ya?"
"$MEDC udah 3 hri scalping di medc. gampang guys. beli di akhir jam bursa. jual pas open market karna biasanya open langsung high, makin sore turun gunung.",jangan bilang2 ntar bandar denger
"$MEDC ada yg nulis berapi api kemarin cuman karena OPEC+ mengurangi produksi jadi harga minyak bisa rally, karena gagal di justifikasi untuk jangka panjang baru bisa wkwkwk

retail mending lo belajar sendiri deh beneran dari pada nyumbangin duit ke orang, market ini kompleks ngga cuman liat kaca mata kuda

don't trust no one, tulisan itu hanya pancingan..

minyak kemarin naik, itu kucing loncat kematian bandar mau TP inflasi masih tinggi ngga mungkin minyak rally",Ritel memang hrs katlos bro
"$BRENT oil naik 3%

$MEDC malah amblas 4%an
Sudah tak koheren lagi?

Buy bertahap","$BRENT

Udah Mau $81 aja

Soon semoga balik minimal $84
Biar realizing price nya $MEDC Q2>Q1 ğŸ”¥"
"angin segar buat saham-saham oil, tapi apakah likuiditas market bisa angkat sahamnya?
naik sedikit, banyak turunnya.

$ELSA $MEDC $ANTM $MDKA $MBMA","Naik lg bro ğŸ˜
Makin ga sabar $BRENT otw $88"
"$MEDC minyak mentah dh pada naik efek WWD3, ini medco kok ga naikÂ² ya. njirrr njirr$IHSG $MEDC mana nih .. Wkwkwkkw","$MEDC minyak mentah dh pada naik efek WWD3, ini medco kok ga naikÂ² ya. njirrr njirr$IHSG $MEDC mana nih .. Wkwkwkkw"
"$IHSG gua terus anomali ya di era pak Jokowi ini.
hilirisasi tapi $MDKA net profit nya biasa aja
pembangunan infrastruktur massif tapi gua liat $WSKT merugi . semen membatu.
ekonomi tumbuh 5% CKPN bengkak $BTPS
ga logis kan.
antara sebab akibat nya engga nyambung gitu.
belum regulasi nya engga melindungi usaha lokal. gua yakin ke depan $TLKM banyak pengurangan karyawan karena sudah kayak pasar bebas aja ini ada starlink lagi. bisnis tower juga terancam"," gw baru aja mikir gini bang..
ada ""miss"" dimana kebijakan pusat itu sering gak jalan didaerah. contohnya daerah gw yg dilewati tol trans jawa bukannya fokus sama wisata malah gak jelas arahnya kemana"
"$MDKA hancurkan ndar, siap tampung..", siap nampung perusahaan rugi?
"Lagi heboh saham NVIDIA ngalahin marcap APPLE di bursa US. NVDA produksi Processors berbasis Graphics yg cocok buat AI kalo processors yg biasa kita tau seperti INTEL itu processors berbasis CPU itu kurang cocok buat AI. Satu lagi growth penjualan NVDA itu datang dari industry crypto $BTC karena validator crypto juga pakenya Graphics Processors atau GPU.
Jadi market mengapresiasi saham NVDA karena dimasa yg akan datang growth AI akan meningkat pesat.
Buat investor cumi2 $IHSG kalian jgn berkecil hati karena kalian bisa ikut menikmati cuan dari pesatnya perkembangan AI di bursa konoha.
Saham apakah yg terdampak dgn perkembangan AI ? Tak lain & tak bukan adalah saham produsen tembaga.
Saham produsen tembaga di bursa lucu2an ini ada dua : $MDKA & $AMMN
Kalo mdka ada kendala di smelter tembaga dia ga punya. Kalo pemerintah larang ekspor konsentrat tembaga mulai 2025 & seterusnya maka mdka dipastikan akan amsyong.
Kalo Amman smelter tembaga semester 2 2024 udah mulai beroperasi jadi tidak ada problem dgn larangan ekspor.
Secara pergerakan harian Amman mungkin agak malu2 tapi in the long run you know you can't beat it.
$BREN",$TBMS GK masuk bang?
"$MDKA bantingan super, komoditas amburadull",buki..hahaha
"$MDKA hati2 jebol 2,400
tapi kayaknya mantul nih ğŸ’ªğŸ’ªğŸ’ª",buki sampai harga pv kemrin 2100.
"PANTAU SAHAM $MDKA
MDKA kembali memasuki area demandnya di 2220-2360, ada potensi MDKA sideways dulu sebelum naik dan menguji area resistennya kembali, selama di atas area demand maka MDKA sangat cocok untuk di watchlist. Cek analisa lainnya di profil https://stockbit.com/#/AnTekSaham?source=8

#DYOR

RANDOM TAG
$BRPT $CUAN $BATR $ATLA",KALO JEBOL AUTO JADI DOUBLE TOP
$MDKA bantingan smack down ğŸ”¥ğŸ”¥ğŸ”¥,menjelang tutupan baru banting. sepi sekali transaksi hari ini..
merah merona $MDKAâ€¦,$MDKA tanpa ada perlawanan....bukiiii
"$INCO koreksi-nya keras jgğŸ§

ada apa ini?

$MBMA $NCKL dkkâ€¦",NICKEL Banjir dr Indonesiaâ€¦
"Tambang Nickel dan Hilirisasinya untuk menjadi bagian dari Ekosistem industri EV dunia, kenyataan atau msh mimpi sih?
$MBMA $NCKL $INCO $ANTM $HRUM",bukan mimpi..tapi mengigau
"$INCO support 4350 dan 4150
resist 4650-4700","menurun lagi ini, harga nickel makin turun"
"Update portofolio ytd per tanggal 07 Juni 2024

Summary 1 bulan: Jual emiten komoditas $INCO, terima deviden dari $ASII & $TLKM, average down perbankan $BBNI dll, beli emiten komoditas (rahasia ğŸ˜)",avd tuh kak tlkm
"hari ini sy berhasil cuan dr Margin yg kemarin...

$INCO 4450 ke 4520
+1,57%

$MBMA 585 ke 600
+2,5%

$PGAS 1580 ke 1605
+1,58%


ğŸ²ğŸ¤¡ğŸš€

jgn Euforia, cukup konsisten, sabar aja..",Pake Margin belinya bang?
$INCO cumdate right issue itu maksutnya gimana ya? apa nanti bakal bisa beli saham harga 3050 kalo udah punya saham sebelumnya?,harus punya minim 17 lot saham inco baru nanti dikasih gratis inco-r terus bisa ditebus diharga 3050
$INCO syarat buat pemegang saham lama Dapetin Right Issue INCO apa ya?,Jadi pemegang saham sebelum exdate
"nikel pada longsor
bisa lebih 30% anjloknya ini sblm naik lagi
klo msh minus kurang dri 10% lebih baik jual kemudian jemput lagi di harga yg lebih rendah
$INCO $NICL $NIKL $KKGI $MBMA",mending kluar dlu aj....
"$INCO May be hit earlier ğŸ˜‰, btw harga nikel terjun bebas entah dimana bottomnya â˜•",bottomny di 9000-10000 kalo nikel
"Lho? di Agustus 2020 itu berita akuisisi Pinehill oleh ICBP lagi heboh-hebohnya pas pandemi covid.. RUPS tanggal 3 Agustus 2020.

Coba deh browsing di google banyak beritanya. Akuisisi Pinehill senilai US$2,99 Miliar atau setara Rp43,99 Triliun dengan kurs saat itu Rp14.714,- per dolar AS.

Namun akuisisi tersebut didanai dengan pinjaman sindikasi dari Bank of China cabang Hongkong, BNP Paribas, Mizuho Bank cabang Singapore, OCBC dan Sumitomo Mitsui Bank cabang Singapore.

Pinehill Company Ltd sendiri merupakan perusahaan pembuatan mie instan di Arab Saudi, Nigeria, Turki, Mesir, Kenya, Maroko, dan Serbia, dengan menggunakan merk ""Indomie"" berdasarkan perjanjian lisensi dengan $INDF, induk perusahaan $ICBP.

Jadi, ya ibaratnya dulu Salim udah ngeluarin modal buat mendirikan Pinehill, nah pas ICBP dah cuan kotos-kotos, ICBP disuruh bayarin Pinehill tapi valuasinya premium (mahal) dan ya pemegang saham ritel nggak akan bisa berbuat apapun karena pemegang saham mayoritas ICBP masih dipegang INDF. Tentu hasil RUPS saat itu dipastikan kuorum tanpa perlu digelar sekalipun.

ICBP dinikmati saja bayar utang sindikasi banknya.","Oh kongkalikong ya, beli perusahaan sendiri di harga mahal. Kacau sih kalo gitu, di luar kendali kita"
$EMTK niat naik ga lu,bener... saham gak jelas
"$EMTK kpn maen ke 500an lg ndarr..?
",gak bakal kayae
$EMTK naek turun lagi 422. begitu melulu. penutupan mesti turun 422$EMTK naek turun lagi 422. begitu melulu. penutupan mesti turun 422,anda salah sekarang 420 ğŸ˜‚ğŸ˜‚ et dah malah bner ğŸ—¿ nih saham mending di tek tokin aja dah
Berhubung liga champions epl dan liga eropa lain lagi libur bisa lah kita support timnas dulu $EMTK $SCMA,"Perhatikan, bahkan dalam acara seperti Piala Dunia kemarin bisa terjadi kejutan yang tidak terduga."
$EMTK muruluk,remuk
"$EMTK sekarang punya porsi paling besar di porto saya, semoga ketika panen profitnya bisa melebihi sido.","kalo boleh tau, knp beli emtk bang?"
"Coba @dibalik cara pikirnya..

$BSSR Harga 3.960 keluar Rp.350,
untuk untuk Dev Rp 30, seperti pada $CPIN
dibutuhkan harga $BSSR di harga berapa???"," hanya butuh.
RP 334.

artinya $BSSR memberikan Dev
11 kali lebih banyak.. dari Cpin."
"Tag: $BMRI $TOWR
Updated News & Events:", BmRI to the moon
"Perbandingan LDR, NIM, NPL the big 4 $BBRI $BBNI $BBCA $BMRI",sudah check breakdown NPL $BBRI?? apakah prosentasenya mayoritas dari nasabah restrukturisasi? artinya apakah nasabah baru baik baik saja & lancar??
